id_min|id_max|masters
253066|320757|802463
320757|437476|802463
320757|1463631|802463
320757|913030|802463
1463632|3373834|802463
253066|1463632|802463
437476|1463632|802463
1463631|1463632|802463
913030|1463632|802463
253066|3373834|802463
437476|3373834|802463
1463631|3373834|802463
913030|3373834|802463
253066|437476|802463
253066|1463631|802463
253066|913030|802463
437476|1463631|802463
437476|913030|802463
913030|1463631|802463
253777|327033|932852
253777|261974|932852
253777|261196|932852
253777|272016|932852
253777|501234|932852
261196|327033|932852
327033|501234|932852
261196|261974|932852
261974|501234|932852
261196|501234|932852
272016|501234|932852
256168|263097|749467
256168|265385|749467
256168|257115|749467
256168|312553|749467
263097|265385|749467
257115|263097|749467
263097|312553|749467
257115|265385|749467
265385|312553|749467
257115|312553|749467
256091|271001|821804
256091|272016|821804
271001|272016|821804
135871|251875|628980
251875|1049153|628980
251875|266425|628980
135871|1049153|628980
135871|266425|628980
266425|1049153|628980
245741|285394|715492
285394|325649|715492
285394|343046|715492
267024|285394|715492
169495|285394|715492
272669|285394|715492
285394|294578|715492
142047|285394|715492
245741|325649|715492
245741|343046|715492
245741|267024|715492
169495|245741|715492
245741|272669|715492
245741|294578|715492
142047|245741|715492
325649|343046|715492
267024|325649|715492
169495|325649|715492
272669|325649|715492
294578|325649|715492
142047|325649|715492
267024|343046|715492
169495|343046|715492
272669|343046|715492
294578|343046|715492
142047|343046|715492
169495|267024|715492
267024|272669|715492
267024|294578|715492
142047|267024|715492
169495|272669|715492
169495|294578|715492
142047|169495|715492
272669|294578|715492
142047|272669|715492
142047|294578|715492
104673|267718|649017
267718|290986|649017
267718|271050|649017
104673|290986|649017
104673|271050|649017
271050|290986|649017
253777|455256|692231
253777|307543|692231
253777|455255|692231
253777|297675|692231
307543|455256|692231
455255|455256|692231
297675|455256|692231
307543|455255|692231
297675|307543|692231
297675|455255|692231
61585|258701|512651
258701|264868|512651,1333271
258701|599630|512651
258701|258702|512651,1333271
23165|258701|512651,1333271
251769|258701|512651,1333271
255563|258701|512651,1333271
30486|258701|512651
251778|258701|512651
64694|258701|512651
258459|258701|512651,1333271
61585|264868|512651
61585|599630|512651
61585|258702|512651
23165|61585|512651
61585|251769|512651
61585|255563|512651
30486|61585|512651
61585|251778|512651
61585|64694|512651
61585|258459|512651
264868|599630|512651
